Timestamp                       Thread     Type        Activity             PID    TTL  
2026-03-25 02:14:17.100488+0000 0x120d88   Default     0x0                  92205  0    Streamyfin: (libxpc.dylib) [com.apple.xpc:connection] [0x107e048b0] activating connection: mach=true listener=false peer=false name=com.apple.cfprefsd.daemon
2026-03-25 02:14:17.163488+0000 0x120d88   Default     0x0                  92205  2    Streamyfin: (UserNotifications) [com.apple.UserNotifications:Connections] [com.fredrikburmester.streamyfin] Creating a user notification center
2026-03-25 02:14:17.171307+0000 0x120d88   Info        0x0                  92205  0    Streamyfin: (Streamyfin.debug.dylib) [com.margelo.nitro:nitro] [HybridObjectRegistry] Registering HybridObject "MMKVFactory"...
2026-03-25 02:14:17.171955+0000 0x120d88   Info        0x0                  92205  0    Streamyfin: (Streamyfin.debug.dylib) [com.margelo.nitro:nitro] [HybridObjectRegistry] Successfully registered HybridObject "MMKVFactory"!
2026-03-25 02:14:17.171985+0000 0x120d88   Info        0x0                  92205  0    Streamyfin: (Streamyfin.debug.dylib) [com.margelo.nitro:nitro] [HybridObjectRegistry] Registering HybridObject "MMKVPlatformContext"...
2026-03-25 02:14:17.172023+0000 0x120d88   Info        0x0                  92205  0    Streamyfin: (Streamyfin.debug.dylib) [com.margelo.nitro:nitro] [HybridObjectRegistry] Successfully registered HybridObject "MMKVPlatformContext"!
2026-03-25 02:14:17.253611+0000 0x120e25   Activity    0x4595b0             92205  0    Streamyfin: (CoreFoundation) Loading Preferences From User Session CFPrefsD
2026-03-25 02:14:17.254651+0000 0x120d88   Default     0x0                  92205  0    Streamyfin: (libMobileGestalt.dylib) No persisted cache on this platform.
2026-03-25 02:14:17.256729+0000 0x120e26   Default     0x0                  92205  0    Streamyfin: (BoardServices) [com.apple.BoardServices:XPCErrors] [C:1] Alloc com.apple.frontboard.systemappservices
2026-03-25 02:14:17.257627+0000 0x120e26   Default     0x0                  92205  0    Streamyfin: (libxpc.dylib) [com.apple.xpc:connection] [0x10a904920] activating connection: mach=false listener=false peer=false name=(anonymous)
2026-03-25 02:14:17.257742+0000 0x120de1   Default     0x0                  92205  0    Streamyfin: (UIKitCore) [com.apple.UIKit:BackgroundTask] Creating new assertion because there is no existing background assertion.
2026-03-25 02:14:17.257811+0000 0x120de1   Default     0x0                  92205  0    Streamyfin: (UIKitCore) [com.apple.UIKit:BackgroundTask] Creating new background assertion
2026-03-25 02:14:17.258049+0000 0x120de1   Default     0x0                  92205  0    Streamyfin: (UIKitCore) [com.apple.UIKit:BackgroundTask] Created new background assertion <BKSProcessAssertion: 0x600002113bb0>
2026-03-25 02:14:17.258187+0000 0x120de1   Default     0x0                  92205  0    Streamyfin: (RunningBoardServices) [com.apple.runningboard:connection] Initializing connection
2026-03-25 02:14:17.271215+0000 0x120de1   Default     0x0                  92205  0    Streamyfin: (RunningBoardServices) [com.apple.runningboard:process] Removing all cached process handles
2026-03-25 02:14:17.271340+0000 0x120e27   Default     0x0                  92205  0    Streamyfin: (RunningBoardServices) [com.apple.runningboard:connection] Sending handshake request attempt #1 to server
2026-03-25 02:14:17.271448+0000 0x120e27   Default     0x0                  92205  0    Streamyfin: (RunningBoardServices) [com.apple.runningboard:connection] Creating connection to com.apple.runningboard
2026-03-25 02:14:17.271467+0000 0x120de1   Info        0x0                  92205  0    Streamyfin: (RunningBoardServices) [com.apple.runningboard:assertion] Acquiring assertion: <RBSAssertionDescriptor| "Shared Background Assertion 0 for com.fredrikburmester.streamyfin" ID:(null) target:92205>
2026-03-25 02:14:17.271483+0000 0x120e27   Default     0x0                  92205  0    Streamyfin: (libxpc.dylib) [com.apple.xpc:connection] [0x107f04140] activating connection: mach=true listener=false peer=false name=com.apple.runningboard
2026-03-25 02:14:17.272545+0000 0x120e25   Activity    0x4595b1             92205  0    Streamyfin: (RunningBoardServices) didChangeInheritances
2026-03-25 02:14:17.272905+0000 0x120d88   Default     0x0                  92205  0    Streamyfin: (UIKitCore) [com.apple.UIKit:Application] Deactivation reason added: 10; deactivation reasons: 0 -> 1024; animating application lifecycle event: 0
2026-03-25 02:14:17.273338+0000 0x120d88   Default     0x0                  92205  0    Streamyfin: (BoardServices) [com.apple.BoardServices:Injection] activating monitor for service com.apple.frontboard.open
